b_impact_score,certified_since,description,location,name,rating1,rating2,rating3,rating4,rating5,rating6,rating7,sector,tagline,url,website
84.6,"April, 2019","Sample Coffee Roasters are here to source, roast, brew and serve small batches of fine coffee. 
They believe from little things, big things grow. This means being present, paying attention to the small details whether it's finding new beans, choosing their packaging or educating their staff. By thinking small and supporting the likeminded people of their community, they are able to build real, long-term relationships with the individual suppliers, staff and customers who enjoy their coffee.
They do this by slowing down, creating small moments of joy and always passing it on.
They are based in Sydney and they:

- Responsibly source and carefully roast coffees from all around the world

- Provide other cafes with roasted beans, servicing and barista training

- Brew and serve their own coffee and food at their cafe and espresso bar

- Deliver coffee to your home or company through their online subscription

- Cater for small and large events with their coffee cart

- Share their knowledge and build community through their events and workshops","St Peters, New South Wales, Australia",Sample Coffee Roasters Pty Ltd,Governance 6.5;Mission & Engagement 0.7;Corporate Accountability 0.0;Ethics 1.1;Transparency 2.1;+ Mission Locked 2.5;,Workers 21.1;Compensation & Wages 3.6;Benefits 9.5;Training & Education 0.9;Worker Ownership 0.0;Management & Worker Communication 2.1;Job Flexibility/Corporate Culture 2.2;Occupational Health & Safety 1.1;N/A Points 1.4;,"Community 44.4;Job Creation 4.2;Diversity & Inclusion 1.7;Civic Engagement & Giving 4.4;Local Involvement 6.4;Suppliers, Distributors & Product 5.7;+ Local Economic Development 16.0;+ Supply Chain Poverty Alleviation 5.4;N/A Points 0.4;","Environment 12.5;Land, Office, Plant 3.8;Inputs 3.0;Outputs 2.2;Transportation, Distribution & Suppliers 2.9;N/A Points 0.4;",,,,Manufacturing,"Coffee, Food, Events, Catering, Training, Education, Workshops, Servicing",https://bcorporation.net/directory/sample-coffee-roasters-pty-ltd,http://www.samplecoffee.com.au
84.4,"April, 2019","Brew Advisors believes 95% of the world’s organizations are founded on an inspired idea. Whether you know it or not, whether you’re about the bottom line or don’t make a dime. Somewhere in your core is an idea that’s bigger than you are.
That bigger idea has a life of its own. It has many supporters, inside and outside of your four walls. It creates a world of everyone, not us and them. When you let that inspired idea run the show, you bring that crowd along with you.
Together, you achieve connection, authenticity and progress, with a sustainability and persistence unthinkable in old-school brand strategies.","Portland, Oregon, United States",brew advisors,Governance 10.8;Mission & Engagement 0.5;Corporate Accountability 0.0;Transparency 2.8;+ Mission Locked 7.5;,Workers 18.8;Compensation & Wages 4.0;Benefits 7.1;Training & Education 0.8;Worker Ownership 2.6;Management & Worker Communication 3.7;N/A Points 0.5;,"Community 28.4;Job Creation 2.0;Diversity & Inclusion 8.6;Civic Engagement & Giving 0.7;Local Involvement 14.0;Suppliers, Distributors & Product 2.0;N/A Points 1.1;","Environment 3.8;Land, Office, Plant 1.8;Inputs 0.4;Outputs 1.1;N/A Points 0.4;",Customers 22.4;+ Support for Underserved/Purpose Driven Enterprises 15.2;+ Serving in Need Populations 7.2;,,,Service with Minor Environmental Footprint,Brand strategists for inspired organizations,https://bcorporation.net/directory/brew-advisors,http://brewadvisors.com
133.3,"April, 2019","Chances are, domestic violence has happened to you or someone you love. Thread Talk knows firsthand because it happened to their founder, Hannah Kay Herdlinger. She created Thread Talk to sell high-quality blankets that fund shelters for other survivors. To them, buying comfort means giving it back to those who need it most.
Physical assault by an intimate partner impacts 1.3 million women each year. Many of these survivors flee abuse with nothing more than the clothes on their backs and turn to domestic violence shelters for refuge. These shelters provide them with everything they need to start over, from bedding and towels to toothbrushes and shampoo. And, they do it for free.
That’s why Thread Talk donates 10% of all proceeds to domesticshelters.org, to fund critical wish list items for 2600+ shelters nationwide.","Charlotte, North Carolina, United States",Thread Talk,Governance 14.5;Mission & Engagement 3.0;Corporate Accountability 0.0;Transparency 4.0;+ Mission Locked 7.5;,"Community 90.2;Diversity & Inclusion 6.8;Civic Engagement & Giving 19.9;Local Involvement 5.0;Suppliers, Distributors & Product 15.2;+ Designed to Give 43.2;","Environment 28.5;Land, Office, Plant 2.0;Inputs 0.7;Outputs 1.5;Transportation, Distribution & Suppliers 0.0;+ Toxin Reduction / Remediation 23.6;N/A Points 0.6;",,,,,Wholesale/Retail,Blankets for a cause,https://bcorporation.net/directory/thread-talk,http://www.threadtalk.com
93.0,"April, 2019","Wisdom Supply Co. is working to scale the reduction of waste in classrooms and offices, because together they're contributing hundreds of thousands of tons of forever lasting plastic and vinyl to the waste stream

The best time to start addressing these sources of waste was many decades ago, the next best time is now.

Waste-Less Schools + Offices + Homes","San Francisco, California, United States",Wisdom Supply Co.,Governance 14.2;Mission & Engagement 2.7;Corporate Accountability 0.0;Transparency 1.5;+ Mission Locked 10.0;,"Community 45.5;Diversity & Inclusion 2.7;Civic Engagement & Giving 19.9;Local Involvement 10.0;Suppliers, Distributors & Product 12.8;","Environment 33.2;Land, Office, Plant 2.5;Inputs 3.3;Outputs 3.0;Transportation, Distribution & Suppliers 0.7;+ Resource Conservation 5.9;+ Land/wildlife Conservation 4.0;+ Environmental Education & Information 13.5;",,,,,Wholesale/Retail,Zero-Waste School + Office Supplies,https://bcorporation.net/directory/wisdom-supply-co,http://wisdomsupplyco.com
92.3,"April, 2019","Made with Local is creating more inclusive and resilient communities through innovative partnerships with social enterprise bakeries. Their products are handmade using the best local ingredients, by folks working in supported workplace programs in rural Nova Scotia. Find their Real Food Bars, Loaded Oats, and Real Food Bar MIX at grocery stores all across Canada, including Sobeys, Safeway, Bulk Barn, Loblaws, and more!","Dartmouth, Nova Scotia, Canada",Made with Local Snack Foods Inc,Governance 5.0;Mission & Engagement 0.6;Corporate Accountability 0.4;Transparency 1.4;+ Mission Locked 2.5;,Workers 21.0;Compensation & Wages 1.9;Benefits 9.7;Training & Education 1.0;Worker Ownership 3.0;Management & Worker Communication 4.2;N/A Points 1.0;,"Community 44.5;Job Creation 1.9;Diversity & Inclusion 4.1;Civic Engagement & Giving 8.3;Local Involvement 7.5;Suppliers, Distributors & Product 6.6;+ Local Economic Development 16.0;","Environment 21.6;Land, Office, Plant 3.6;Inputs 5.7;Outputs 3.8;Transportation, Distribution & Suppliers 7.5;N/A Points 0.8;",,,,Wholesale/Retail,"Real Food Bars, Loaded Oats, Real Food Bar Mix",https://bcorporation.net/directory/made-with-local-snack-foods-inc,http://www.madewithlocal.com
106.3,"April, 2019","ÓBOLO is the first chocolate made in Chile from the organic cocoa bean, or bean to bar. They buy cocoa directly from small Latin American producers and in their workshop in Santiago, they transform it into world-class chocolate.
ÓBOLO es el primer chocolate elaborado en Chile a partir del grano de cacao orgánico, o bean to bar. Compramos cacao directamente a pequeños productores latinoamericanos y en nuestro taller en Santiago lo transformamos en chocolate de calidad mundial.","Santiago, Ñuñoa, Chile",ÓBOLO Chocolate SpA,Governance 10.7;Mission & Engagement 1.5;Corporate Accountability 0.3;Transparency 1.4;+ Mission Locked 7.5;,Workers 22.1;Compensation & Wages 10.7;Benefits 3.2;Training & Education 1.9;Worker Ownership 0.8;Management & Worker Communication 1.9;Human Rights & Labor Policy 1.2;Occupational Health & Safety 0.9;N/A Points 1.1;,"Community 46.4;Job Creation 5.3;Diversity & Inclusion 3.3;Civic Engagement & Giving 0.5;Local Involvement 0.0;Suppliers, Distributors & Product 12.9;+ Supply Chain Poverty Alleviation 24.2;","Environment 26.9;Land, Office, Plant 2.1;Inputs 7.2;Outputs 0.7;Transportation, Distribution & Suppliers 1.9;+ Toxin Reduction / Remediation 13.6;N/A Points 1.1;",,,,Manufacturing,Chile's premier bean to bar chocolate,https://bcorporation.net/directory/bolo-chocolate-sp-a,http://www.obolochocolate.cl
80.8,"April, 2019","CleanNow is a seed funded, residential cleaning PropTech startup based in Edmonton, Canada. Unlike other startups in the space currently, CleanNow has a network of over 5,000 cleaners across Canada supporting their team as they grow. Their cleaners are experts in residential home cleaning, are fully insured, bonded and have completed their comprehensive CleanNow training program. CleanNow launched in Edmonton in late November and is expanding nationally in 2019.","Edmonton, Alberta, Canada",CleanNow,Governance 19.0;Mission & Engagement 3.3;Corporate Accountability 3.2;Transparency 4.9;+ Mission Locked 7.5;,Workers 26.7;Compensation & Wages 4.2;Benefits 13.4;Training & Education 0.8;Worker Ownership 0.0;Management & Worker Communication 6.1;N/A Points 2.0;,"Community 26.2;Job Creation 2.4;Diversity & Inclusion 5.3;Civic Engagement & Giving 2.2;Local Involvement 9.3;Suppliers, Distributors & Product 6.0;N/A Points 0.9;","Environment 8.7;Land, Office, Plant 6.4;Inputs 0.9;Outputs 1.2;",,,,Service with Minor Environmental Footprint,On-demand Residential Home Cleaning App,https://bcorporation.net/directory/clean-now,http://cleannow.com
80.4,"April, 2019","PALO IT is an international consultancy specialized in human-centred design, Agile software development and in the transformation of forward-thinking companies.","Singapore, Singapore, Singapore",PALO IT Singapore,Governance 12.8;Mission & Engagement 1.9;Corporate Accountability 0.6;Ethics 1.6;Transparency 6.0;+ Mission Locked 2.5;,Workers 29.3;Compensation & Wages 6.2;Benefits 11.1;Training & Education 1.9;Worker Ownership 1.6;Management & Worker Communication 3.3;Job Flexibility/Corporate Culture 3.2;N/A Points 1.6;,"Community 23.0;Job Creation 1.0;Diversity & Inclusion 5.2;Civic Engagement & Giving 5.9;Local Involvement 4.0;Suppliers, Distributors & Product 6.0;+ Local Economic Development N/A;N/A Points 0.8;","Environment 9.5;Land, Office, Plant 6.9;Inputs 1.9;Outputs 0.7;",Customers 5.6;+ Support for Underserved/Purpose Driven Enterprises 4.0;+ Serving in Need Populations 1.5;,,,Service with Minor Environmental Footprint,global technology innovation consultancy and agile software development,https://bcorporation.net/directory/palo-it-singapore,http://sg.palo-it.com
81.6,"April, 2019","Danone Egypt is a subsidiary of Danone, a leading global food and beverage company, with headquarters in Cairo with one plant in Obour, a world class dairy farm in Nubariya, the second largest in Egypt, and distribution centers across Egypt. Danone is proud to make a positive contribution to Egypt with great tasting, healthier and top-quality products for infants, children and families; and services which support healthy lifestyles for all Egyptians. Operating with a leading position on essential dairy category (Danone Yogurt, DanUp, Danette, Activia and Dango) and early life nutrition (Bebelac and Aptamil), Danone Egypt’s 1,545 employees are driven by the ambition to nourish a healthier and happier Egypt.
At Danone Egypt, they believe in building a socially inclusive approach in the places where they operate and have developed projects that embody this approach: from working with some of the smallest members in their value chain: farmers, milk collectors and micro distributors to providing access to nutrition awareness and education for their consumers.","Cairo, El Obour City, Egypt",Danone Egypt,Governance 9.4;Mission & Engagement 1.3;Corporate Accountability 1.5;Ethics 2.2;Transparency 1.6;+ Mission Locked 2.5;,Workers 24.6;Compensation & Wages 7.9;Benefits 7.0;Training & Education 2.2;Worker Ownership 0.9;Management & Worker Communication 1.8;Human Rights & Labor Policy 0.8;Occupational Health & Safety 2.3;N/A Points 1.5;,"Community 26.9;Job Creation 1.8;Diversity & Inclusion 1.8;Civic Engagement & Giving 3.2;Local Involvement 4.0;Suppliers, Distributors & Product 6.0;+ Microdistribution Poverty Alleviation 8.4;+ Supply Chain Poverty Alleviation 1.5;","Environment 19.6;Land, Office, Plant 4.2;Inputs 6.5;Outputs 6.7;Transportation, Distribution & Suppliers 1.6;N/A Points 0.5;",Customers 1.1;+ Health & Wellness Improvement 1.1;+ Serving in Need Populations N/A;,,,Manufacturing,Food Manufacturing,https://bcorporation.net/directory/danone-egypt,http://www.danone.com
94.5,"April, 2019","Living Alive offer inspiring talks, immersive nature-based workshops and retreats, and intervention consultancy for leaders and businesses – designed to catalyse the systemic shifts in awareness, values, and behaviours needed to build a more regenerative future for people and planet.
In the face of converging crises, they believe the kind of urgent shift in cultural worldview required for life on Earth to thrive into the 21st century will not come from only a theoretical understanding of the challenges that we all face, but from being inspired into positive action by experiencing awe, cultivating a planetary perspective and a sense of interdependence with the natural world.
Spending time in nature offers one of the most direct, accessible and meaningful ways to better equip humans as proponents for positive change. They’ve found the biggest shifts in perspective arise beneath dark starry skies, that insights and connections come naturally sharing meaningful conversation around the campfire, and that in a busy world taking time offline in a wild place provides vital space for reflection.
Living Alive is in the business of systems change – their interdisciplinary and experience-led approach helps people to live, work and lead in ways that are fit for the future.","Forres, Scotland, United Kingdom",Living Alive,Governance 9.0;Mission & Engagement 0.5;Corporate Accountability 0.0;Transparency 1.0;+ Mission Locked 7.5;,"Community 50.6;Diversity & Inclusion 9.0;Civic Engagement & Giving 20.2;Local Involvement 12.0;Suppliers, Distributors & Product 5.2;N/A Points 4.0;","Environment 34.8;Land, Office, Plant 8.0;Inputs 0.4;Outputs 2.5;+ Environmental Education & Information 20.8;N/A Points 3.1;",,,,,Service with Minor Environmental Footprint,"Experience-led sustainability consultancy services: talks, workshops, retreats",https://bcorporation.net/directory/living-alive,http://www.livingalive.earth
83.1,"April, 2019","Blédina is a French baby food company, part of Danone, leader in the French food market

For more than 110 years, they have been meeting the nutritional needs of babies and toddlers, thanks to their employee’s unique know-how.

They are convinced that their company has a role to play in the Food Revolution to reconnect people with the food they eat.  It is for this reason that their mission is to offer children the best nutritional start in life.

In line with their social responsibility, they support the Malin Program ‘Le Programme Malin’, since its foundation in 2012, which aims to support nutritional healthy habits for in need populations, by proposing nutritional information & reduction coupons.

They are also committed to the protection of their natural resources, by advocating, for instance, a more respectful and sustainable agriculture, regenerative agriculture.

They’re not just a Babyfood company; Blédina and Laboratoire Gallia’s 1500 employees are those who write the company’s history and define the world in which we all want to live tomorrow.","Limonest, Rhône, France",Blédina,Governance 9.7;Mission & Engagement 2.6;Corporate Accountability 0.9;Ethics 1.3;Transparency 2.2;+ Mission Locked 2.5;,Workers 27.5;Compensation & Wages 6.7;Benefits 10.5;Training & Education 1.3;Worker Ownership 2.6;Management & Worker Communication 1.4;Job Flexibility/Corporate Culture 2.0;Human Rights & Labor Policy 0.4;Occupational Health & Safety 0.9;N/A Points 1.3;,"Community 22.0;Job Creation 0.8;Diversity & Inclusion 3.9;Civic Engagement & Giving 6.3;Local Involvement 3.3;Suppliers, Distributors & Product 6.9;N/A Points 0.6;","Environment 20.1;Land, Office, Plant 6.9;Inputs 4.2;Outputs 6.2;Transportation, Distribution & Suppliers 1.8;+ Environment Products & Services Introduction N/A;+ Land/wildlife Conservation 0.9;",Customers 3.5;+ Health & Wellness Improvement 3.5;+ Serving in Need Populations N/A;,,,Manufacturing,Baby food,https://bcorporation.net/directory/bledina,http://www.bledina.fr
96.7,"April, 2019","Karner Blue Capital, the nation’s first registered investment advisor to evaluate publicly-traded companies on animal welfare criteria, develops investment strategies as a means of generating financial returns and reducing harm inflicted upon animals by corporate enterprises.","Bethesda, Maryland, United States","Karner Blue Capital, LLC",Governance 10.0;Mission & Engagement 2.0;Corporate Accountability 0.0;Transparency 0.5;+ Mission Locked 7.5;,"Community 22.3;Diversity & Inclusion 3.6;Civic Engagement & Giving 0.7;Local Involvement 9.0;Suppliers, Distributors & Product 9.0;","Environment 8.4;Land, Office, Plant 2.5;Inputs 1.3;Outputs 3.3;N/A Points 1.2;",Customers 55.9;+ Portfolio Reporting 2.2;+ Targeted for Investment 16.6;+ Leadership & Outreach 9.0;+ Investment Criteria 18.4;+ Portfolio Management 9.6;,,,,Service with Minor Environmental Footprint,Compassionate Investing with Impact™,https://bcorporation.net/directory/karner-blue-capital-llc,http://www.karnerbluecapital.com
85.3,"April, 2019","Red Megacentro is a leading company in warehouse leasing and logistic services. They offer their customers tailored solutions to their needs in high quality facilities and in multiple formats. From Self Storage to large Distributions Centers.

Red Megacentro seeks to generate positive impact in the communities where it operates, promoting joint work and public-private cooperation.","Santiago, Región Metropolitana, Chile",Red Megacentro,Governance 15.3;Mission & Engagement 1.2;Corporate Accountability 1.6;Ethics 3.0;Transparency 1.9;+ Mission Locked 7.5;,Workers 22.0;Compensation & Wages 5.7;Benefits 9.0;Training & Education 2.0;Worker Ownership 0.8;Management & Worker Communication 1.4;Human Rights & Labor Policy 0.6;Occupational Health & Safety 2.2;,"Community 22.0;Job Creation 1.7;Diversity & Inclusion 1.4;Civic Engagement & Giving 4.3;Local Involvement 5.6;Suppliers, Distributors & Product 8.9;","Environment 25.8;Land, Office, Plant 4.0;Inputs 4.2;Outputs 9.3;Transportation, Distribution & Suppliers 1.6;+ Resource Conservation 3.1;N/A Points 3.4;",,,,Service with Significant Environmental Footprint,"Wharehouse, office suites and self storage leasing. Logistic Services.",https://bcorporation.net/directory/red-megacentro,http://www.redmegacentro.cl
94.1,"April, 2019","Eco Panplas has developed a technological solution that performs the decontamination and recycling of lubricant plastic packaging in an ecological way: without the use of water, and without waste generation.

More than that, all inputs like plastic, oil and label, are recovered, recycled and sold with excellent quality, eliminating environmental risk.

In addition to that, the process generates a recycled plastic that allows the production of new packaging with up to 10% lower cost, thus creating a true circular economy.","Hortolândia, SP, Brazil",Eco Panplas,Governance 7.4;Mission & Engagement 2.2;Corporate Accountability 0.3;Transparency 2.4;+ Mission Locked 2.5;,Workers 18.5;Compensation & Wages 9.5;Benefits 4.6;Training & Education 1.7;Worker Ownership 0.0;Management & Worker Communication 0.0;Human Rights & Labor Policy 0.3;Occupational Health & Safety 1.6;N/A Points 0.5;,"Community 17.4;Job Creation 2.6;Diversity & Inclusion 3.3;Civic Engagement & Giving 0.5;Local Involvement 6.0;Suppliers, Distributors & Product 4.8;","Environment 50.6;Land, Office, Plant 2.2;Inputs 5.6;Outputs 8.9;Transportation, Distribution & Suppliers 2.8;+ Designed to Conserve Manufacturing Process N/A;+ Resource Conservation 28.8;N/A Points 2.0;",,,,Manufacturing,Plastic Packaging Recycling,https://bcorporation.net/directory/eco-panplas,http://ecopanplas.com.br
82.1,"April, 2019","RDA Renting SA is a pioneer company in Argentina of the rental and administration service of corporate fleets. They focus on achieving a comprehensive, safe, sustainable and efficient mobility for customers. This is achieved from advice, which ranges from the strategy of shaping the fleet to the use of telemetry to measure the behavior of users and how to generate better mobility. Their goal is to be the company with the highest standard of service in its segment, human quality in dealing with customers, users and employees, being the frame of reference in the market for its values and care for the environment
RDA Renting SA es una empresa pionera en Argentina del servicio de renting y administración de flotas corporativas. Ponemos foco en lograr una movilidad integral, segura, sustentable y eficiente para nuestros clientes. Esto se logra a partir de nuestro asesoramiento el cual abarca desde la estrategia de conformación de la flota hasta el uso de telemetría para medir el comportamiento de los usuarios y como generar una mejor movilidad. Nuestro objetivo es ser la empresa con el mayor estándar de servicio en su segmento, calidad humana en el trato hacia clientes, usuarios y empleados, siendo el marco de referencia en el mercado por sus valores y cuidado del medio ambiente.","San Isidro, Buenos Aires, Argentina",RDA Renting SA,Governance 14.8;Mission & Engagement 0.8;Corporate Accountability 1.6;Ethics 3.0;Transparency 1.9;+ Mission Locked 7.5;,Workers 23.9;Compensation & Wages 10.0;Benefits 6.3;Training & Education 2.1;Worker Ownership 0.8;Management & Worker Communication 1.6;Human Rights & Labor Policy 0.9;Occupational Health & Safety 0.5;N/A Points 1.2;,"Community 34.3;Job Creation 6.2;Diversity & Inclusion 2.9;Civic Engagement & Giving 4.4;Local Involvement 5.0;Suppliers, Distributors & Product 6.5;+ Workforce Development 8.0;N/A Points 1.0;","Environment 9.0;Land, Office, Plant 1.2;Inputs 0.0;Outputs 3.7;Transportation, Distribution & Suppliers 1.2;N/A Points 2.7;",,,,Service with Significant Environmental Footprint,Renting and Fleet management,https://bcorporation.net/directory/rda-renting-sa,http://www.renting.com.ar
81.5,"April, 2019","Echo Adventure Cooperative is a Yosemite based worker-owned cooperative offering socially and environmentally sustainable adventures, vacation packages and group events in Yosemite National Park and the surrounding Sierra Nevada.

From the outside, Echo Adventure Cooperative looks like a traditional guiding agency and outfitter, but talk to any members and you will quickly see that Echo solely focuses on its four primary stakeholders; the members, guests, community and environment

Worker-Owned: Echo Adventure Cooperative is a collective board worker cooperative. To maintain empowerment and ownership, every Echo Adventures member directly contributes to the decision making of the Corporation through an equal vote on the Board of Directors, and every member is in charge of their offerings, rates, schedule and availability!

Environmentally Sustainable: In addition to volunteering and donating to conservation organizations and efforts, Echo Adventures members also practice and teach strict Leave No Trace principles, including catch & release fly fishing with barbless hooks. 99.8% of all trips and add-ons are free of disposable plastics! Their administrative office uses 100% Solar Choice Power, cloud-based filing and pre-owned office and computer equipment.","Groveland, California, United States","Echo Adventure Cooperative, Inc",Governance 17.5;Mission & Engagement 3.5;Corporate Accountability 1.9;Transparency 4.6;+ Mission Locked 7.5;,"Community 49.6;Diversity & Inclusion 10.3;Civic Engagement & Giving 17.3;Local Involvement 18.0;Suppliers, Distributors & Product 0.0;N/A Points 3.9;","Environment 7.0;Land, Office, Plant 2.0;Inputs 1.8;Outputs 2.5;N/A Points 0.7;",Customers 7.3;+ Health & Wellness Improvement 7.3;+ Serving in Need Populations N/A;,,,,Service with Minor Environmental Footprint,"Guided fly fishing, hiking, sightseeing, backpacking, and vacation packages.",https://bcorporation.net/directory/echo-adventure-cooperative-inc,http://www.echocoop.com
82.2,"April, 2019","Dialogue is an agency of enthusiastic driven professionals who strengthen organizations by developing the people within those organizations. They shape this through advice, coaching, mediation and training. They focus on soft skills, leadership and collaboration. 
Een bureau van enthousiaste gedreven professionals die organisaties versterken door de mensen binnen die organisaties te ontwikkelen. Dit geven we vorm door advies, coaching, mediation en training. We richten ons hierbij op soft skills, leiderschap en samenwerking.","Bussum, Noord Holland, Netherlands",Dialogue,Governance 15.5;Mission & Engagement 2.0;Corporate Accountability 0.2;Ethics 1.7;Transparency 3.9;+ Mission Locked 7.5;,Workers 23.0;Compensation & Wages 4.0;Benefits 11.9;Training & Education 1.1;Worker Ownership 0.0;Management & Worker Communication 2.7;Job Flexibility/Corporate Culture 2.2;N/A Points 0.8;,"Community 13.6;Job Creation 0.0;Diversity & Inclusion 3.8;Civic Engagement & Giving 4.2;Local Involvement 2.5;Suppliers, Distributors & Product 2.8;N/A Points 0.1;","Environment 8.6;Land, Office, Plant 6.1;Inputs 1.7;Outputs 0.7;",Customers 21.3;+ Education 21.3;+ Serving in Need Populations N/A;,,,Service with Minor Environmental Footprint,A development agency for talent and organizations.,https://bcorporation.net/directory/dialogue,http://www.dialoguebv.nl
83.0,"April, 2019","TINGUA is an agency that coordinates international volunteer experiences with the purpose of generating a meeting of cultures with social impact. Their experiences focus on developing social awareness, intercultural sensitivity and empathy bringing cultures closer, activating the potential of young people as agents of change, involving them in the resolution of problems.
TINGUA es una agencia que coordina experiencias de voluntariado internacional con el propósito de generar un encuentro de culturas con impacto social. Las experiencias se focalizan en desarrollar la conciencia social, la sensibilidad intercultural y la empatía acercando culturas, activando el potencial de los jóvenes como agentes de cambio, involucrándolos en la resolución de las problemáticas globales como ciudadanos activos del mundo.","Córdoba, Córdoba, Argentina",TINGUA,Governance 6.3;Mission & Engagement 2.5;Corporate Accountability 0.0;Transparency 1.3;+ Mission Locked 2.5;,"Community 45.5;Diversity & Inclusion 20.0;Civic Engagement & Giving 13.2;Local Involvement 7.5;Suppliers, Distributors & Product 2.7;N/A Points 2.1;","Environment 11.6;Land, Office, Plant 8.0;Inputs 0.0;Outputs 2.5;N/A Points 1.1;",Customers 19.4;+ Education 19.4;+ Serving in Need Populations N/A;,,,,Service with Minor Environmental Footprint,Industry: Travel & Leisure. Industria: Viajes y Recreación,https://bcorporation.net/directory/tingua,http://www.tinguaexperience.com
134.7,"April, 2019","Travois is a mission-driven business focused exclusively on promoting affordable housing and economic development for American Indian, Alaska Native and Native Hawaiian communities. Since 1995, Travois has made an impact of more than $1.4 billion in Indigenous communities nationwide — from Hawaii and Alaska to Maine and California.","Kansas City,, Missouri, United States",Travois,Governance 12.0;Mission & Engagement 2.9;Corporate Accountability 0.5;Ethics 2.0;Transparency 4.0;+ Mission Locked 2.5;,Workers 30.7;Compensation & Wages 9.8;Benefits 9.4;Training & Education 3.0;Worker Ownership 2.2;Management & Worker Communication 2.9;Job Flexibility/Corporate Culture 3.2;,"Community 42.4;Job Creation 2.8;Diversity & Inclusion 7.1;Civic Engagement & Giving 7.9;Local Involvement 7.2;Suppliers, Distributors & Product 5.0;+ Workforce Development 11.1;N/A Points 1.1;","Environment 8.0;Land, Office, Plant 5.0;Inputs 2.2;Outputs 0.7;",Customers 41.3;+ Economic Empowerment for the Underserved N/A;+ Support for Underserved/Purpose Driven Enterprises 26.9;+ Serving in Need Populations 14.4;,,,Service with Minor Environmental Footprint,"Housing, Economic Development, Asset Management, Architecture, Impact Investing",https://bcorporation.net/directory/travois,http://www.travois.com
93.7,"April, 2019","The Hood & Portland To Coast Relays is known as the world's largest running relay, and ""Mother of All Relays"". The event began in 1982, and annually hosts teams from 50 states, 43 countries, as well as celebrities and Olympians. Hood To Coast teams of 12 start at the top of Mount Hood (downtown Portland for the Portland To Coast Walk) and run/walk in rotation, 4-7 miles, for 200 miles (130 miles for Portland To Coast Walk) to finish at a massive beach party in Seaside, Oregon. The event is also a charity platform to raise millions for cancer research and patient advocacy programs.","Beaverton, Oregon, United States",Hood To Coast Relay,Governance 11.8;Mission & Engagement 3.1;Corporate Accountability 0.8;Ethics 1.7;Transparency 3.5;+ Mission Locked 2.5;,Workers 27.9;Compensation & Wages 9.6;Benefits 6.3;Training & Education 1.7;Worker Ownership 2.8;Management & Worker Communication 2.4;Job Flexibility/Corporate Culture 3.3;N/A Points 1.5;,"Community 46.4;Job Creation 4.5;Diversity & Inclusion 5.8;Civic Engagement & Giving 7.1;Local Involvement 8.7;Suppliers, Distributors & Product 3.0;+ Local Economic Development 16.0;N/A Points 1.1;","Environment 7.5;Land, Office, Plant 5.2;Inputs 1.3;Outputs 1.0;",,,,Service with Minor Environmental Footprint,World's largest running and walking team relay,https://bcorporation.net/directory/hood-to-coast-relay,http://hoodtocoast.com
81.5,"April, 2019",Instituto Yiesia is a consulting firm that implements transformational corporate governance frameworks and trains entrepreneurial competences to help minorities be reinserted into the corporate world.,"São Paulo, São Paulo, Brazil",Instituto Yiesia,Governance 10.7;Mission & Engagement 1.2;Corporate Accountability 0.0;Transparency 2.0;+ Mission Locked 7.5;,"Community 45.7;Diversity & Inclusion 20.0;Civic Engagement & Giving 4.9;Local Involvement 15.0;Suppliers, Distributors & Product 3.6;N/A Points 2.1;","Environment 4.9;Land, Office, Plant 0.0;Inputs 2.4;Outputs 2.0;N/A Points 0.4;",Customers 20.0;+ Impact Improvement 20.0;+ Serving in Need Populations N/A;,,,,Service with Minor Environmental Footprint,governance and management consulting,https://bcorporation.net/directory/instituto-yiesia,http://www.yiesia.com.br
80.5,"April, 2019","Nice Dog sustainably produces shows and events of any magnitude, implementing the International Management System ISO 20.121 (Sustainable Events), identifying opportunities and actions to improve the use of resources, social inclusion, environmental impact and legacy in the community.
Nice Dog produce de forma sustentable espectáculos y eventos de cualquier magnitud, implementando el sistema de Gestión internacional ISO 20.121(Eventos Sostenibles), identificando oportunidades y acciones de mejora en el uso de recursos, inclusión social, impacto ambiental y legado en la comunidad.","Ciudad Autonoma de Buenos Aires, Buenos Aires, Argentina",Nice Dog,Governance 12.5;Mission & Engagement 1.8;Corporate Accountability 0.8;Transparency 2.3;+ Mission Locked 7.5;,"Community 23.2;Diversity & Inclusion 10.0;Civic Engagement & Giving 1.3;Local Involvement 0.0;Suppliers, Distributors & Product 9.9;+ Supply Chain Poverty Alleviation 2.0;","Environment 7.2;Land, Office, Plant 3.9;Inputs 0.0;Outputs 1.0;N/A Points 2.3;",Customers 37.5;+ Impact Improvement 37.5;+ Serving in Need Populations N/A;,,,,Service with Minor Environmental Footprint,Sustainability in Events and Shows. Sustentabilidad en Eventos y Espectáculos,https://bcorporation.net/directory/nice-dog,http://www.agencianicedog.com
